EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME
  164,115793,GRONINGEN                               ,NL,+53:13:00,+006:33:00,   2, DD1,19060301,19520131,   19,Ge Verver                                         
  164,906280,EELDE/GRONINGEN AP EELDE                ,NL,+53:07:00,+006:34:59,   4, DD4,19800101,20190430,    -,Synoptical message from GTS
  166,113626,VLISSINGEN                              ,NL,+51:26:29,+003:35:44,   8, DD1,19080401,20190430,   19,Ge Verver                                         
  166,906310,VLISSINGEN                              ,NL,+51:27:00,+003:36:00,  10, DD4,19800101,20190430,    -,Synoptical message from GTS
  167,115798,MAASTRICHT-1                            ,NL,+50:51:00,+005:40:59,  49, DD1,19060101,19521231,   19,Ge Verver                                         
  168,113662,MAASTRICHT                              ,NL,+50:54:19,+005:45:42, 114, DD1,19060101,20190430,   19,Ge Verver                                         
  168,906380,BEEK/MAASTRICHT AP/MAASTRICHT AACHEN    ,NL,+50:55:00,+005:46:59, 116, DD4,19800101,20190430,    -,Synoptical message from GTS
  179,114767,BJOERNOEYA                              ,NO,+74:31:00,+019:01:00,  16, DD4,19370101,20190430,   22,Hans Olav Hygen                                   
  185,114668,SUOLOVUOPMI                             ,NO,+69:35:17,+023:31:54, 377, DD4,19631001,20041107,   22,Hans Olav Hygen                                   
  185,114671,SUOLOVUOPMI-LULIT                       ,NO,+69:34:46,+023:32:03, 381, DD4,20041101,20190430,   22,Hans Olav Hygen                                   
  185,901051,SUOLOVUOPMI                             ,NO,+69:34:59,+023:31:59, 374, DD4,19800101,20170709,    -,Synoptical message from GTS
  185,901058,SUOLOVUOPMI LULIT                       ,NO,+69:34:00,+023:31:59, 381, DD4,20060118,20190430,    -,Synoptical message from GTS
  186,114680,SVALBARD AIRPORT                        ,NO,+78:15:00,+015:28:00,  28, DD4,20090901,20190430,   22,Hans Olav Hygen                                   
  186,901008,SVALBARD AP                             ,NO,+78:15:00,+015:28:00,  29, DD4,19800101,20190430,    -,Synoptical message from GTS
  187,114677,HOPEN                                   ,NO,+76:30:00,+025:04:00,   6, DD4,19451016,20190430,   22,Hans Olav Hygen                                   
  187,901062,HOPEN                                   ,NO,+76:30:00,+025:04:00,  10, DD4,19800101,20190430,    -,Synoptical message from GTS
  189,114683,JAN MAYEN                               ,NO,+70:55:59,-008:40:00,  10, DD4,20090901,20190430,   22,Hans Olav Hygen                                   
  189,901001,JAN MAYEN                               ,NO,+70:55:59,-008:39:59,   9, DD4,19800101,20190430,    -,Synoptical message from GTS
  190,114656,KARASJOK                                ,NO,+69:28:00,+025:30:11, 129, DD4,18770101,20040831,   22,Hans Olav Hygen                                   
  190,114659,KARASJOK-MARKANNJARGA                   ,NO,+69:27:48,+025:30:07, 131, DD4,20040702,20190430,   22,Hans Olav Hygen                                   
  190,901065,KARASJOK                                ,NO,+69:28:00,+025:31:00, 133, DD4,19800101,20190430,    -,Synoptical message from GTS
  192,114644,FAERDER FYR                             ,NO,+59:01:36,+010:31:48,   6, DD4,19000101,20190430,   22,Hans Olav Hygen                                   
  192,901482,FERDER LH                               ,NO,+59:01:59,+010:31:59,   8, DD4,19800101,20190430,    -,Synoptical message from GTS
  193,114725,OSLO BLINDERN                           ,NO,+59:56:34,+010:43:14,  94, DD4,19370301,20190430,   22,Hans Olav Hygen                                   
  194,114707,UTSIRA FYR                              ,NO,+59:18:28,+004:52:41,  55, DD4,20090901,20190430,   22,Hans Olav Hygen                                   
  194,901403,UTSIRA LH                               ,NO,+59:18:00,+004:52:59,  56, DD4,19800101,20190430,    -,Synoptical message from GTS
  195,114674,VARDOE                                  ,NO,+70:22:01,+031:05:04,  14, DD4,20090901,20190430,   22,Hans Olav Hygen                                   
  195,901098,VARDO                                   ,NO,+70:21:59,+031:06:00,  15, DD4,19800101,20190430,    -,Synoptical message from GTS
  196,113545,NESBYEN II                              ,NO,+60:34:00,+009:07:59, 165, DD4,19560101,19761031,   22,Hans Olav Hygen                                   
  196,113554,NESBYEN-SKOGLUND                        ,NO,+60:34:06,+009:07:18, 167, DD4,19770101,20040120,   22,Hans Olav Hygen                                   
  196,113557,NESBYEN-TODOKK                          ,NO,+60:34:01,+009:08:00, 166, DD4,20031121,20190430,   22,Hans Olav Hygen                                   
  196,901372,NESBYEN-SKOGLUND                        ,NO,+60:34:00,+009:07:59, 167, DD4,19800101,20160522,    -,Synoptical message from GTS
  203,114617,LUXEMBOURG AIRPORT                      ,LU,+49:37:33,+006:12:12, 376, DD2,19990501,20190401,   25,Jacques Zimmer                                    
  203,906590,LUXEMBOURG/LUXEMBOURG                   ,LU,+49:37:00,+006:13:00, 376, DD4,19800101,20190430,    -,Synoptical message from GTS
  229,115610,BADAJOZ/TALAVERA LA REAL                ,ES,+38:52:59,-006:49:45, 185, DD5,19550101,20190430,   31,Antonio Mestre Barcelo                            
  229,908330,BADAJOZ/TALAVERA LA REAL                ,ES,+38:52:59,-006:49:59, 192, DD4,19810930,20190430,    -,Synoptical message from GTS
  230,115612,MADRID - RETIRO                         ,ES,+40:24:42,-003:40:41, 667, DD5,19210101,20190203,   31,Antonio Mestre Barcelo                            
  230,120283,MADRID/CUATROVIENTOS                    ,ES,+40:22:40,-003:47:21, 687, DD5,19610101,20190430,   31,Antonio Mestre Barcelo                            
  230,908220,MADRID/C. UNIVERSITARIA                 ,ES,+40:27:00,-003:43:00, 669, DD4,19860114,20021216,    -,Synoptical message from GTS
  231,115614,MALAGA AEROPUERTO                       ,ES,+36:40:00,-004:29:17,   7, DD5,19420501,20190430,   31,Antonio Mestre Barcelo                            
  231,908482,MALAGA/AEROPUERTO                       ,ES,+36:40:00,-004:28:59,   7, DD4,19800101,20190430,    -,Synoptical message from GTS
  232,115616,NAVACERRADA                             ,ES,+40:46:50,-004:00:37,1894, DD5,19670401,20190430,   31,Antonio Mestre Barcelo                            
  232,908215,NAVACERRADA                             ,ES,+40:46:59,-004:01:00,1888, DD4,19810930,20190430,    -,Synoptical message from GTS
  233,115618,SALAMANCA AEROPUERTO                    ,ES,+40:57:33,-005:29:53, 790, DD5,19610101,20190430,   31,Antonio Mestre Barcelo                            
  233,908202,SALAMANCA/MATACAN                       ,ES,+40:57:00,-005:30:00, 794, DD4,19800101,20190430,    -,Synoptical message from GTS
  234,115620,SAN SEBASTIAN - IGUELDO                 ,ES,+43:18:27,-002:02:21, 251, DD5,19390401,20190430,   31,Antonio Mestre Barcelo                            
  234,908027,SAN SEBASTIAN/IGUELDO                   ,ES,+43:18:00,-002:01:59, 259, DD4,19800101,20190430,    -,Synoptical message from GTS
  236,115622,TORTOSA - OBSERVATORIO DEL EBRO         ,ES,+40:49:14,+000:29:29,  44, DD5,19420102,20190430,   31,Antonio Mestre Barcelo                            
  236,908238,TORTOSA                                 ,ES,+40:49:00,+000:30:00,  50, DD4,19800101,20190430,    -,Synoptical message from GTS
  237,115624,VALENCIA                                ,ES,+39:28:50,-000:21:59,  11, DD5,19390801,20120229,   31,Antonio Mestre Barcelo                            
  237,908285,VALENCIA                                ,ES,+39:28:59,-000:22:59,  11, DD4,19890912,19890912,    -,Synoptical message from GTS
  238,115626,ZARAGOZA AEROPUERTO                     ,ES,+41:39:42,-001:00:29, 247, DD5,19420510,20190430,   31,Antonio Mestre Barcelo                            
  238,908160,ZARAGOZA/AEROPUERTO                     ,ES,+41:40:00,-001:00:00, 258, DD4,19800101,20190430,    -,Synoptical message from GTS
  264,114698,OKSOEY FYR                              ,NO,+58:04:00,+008:03:02,   9, DD4,18640501,20190430,   22,Hans Olav Hygen                                   
