EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 DD   : Wind direction in degrees
30-34 Q_DD : quality code for DD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CORDOBA AEROPUERTO, SPAIN (STAID: 337)
Blended and updated with sources:20049 908410 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   DD, Q_DD
   337, 20049,19590907,   50,    0
   337, 20049,19590908,  140,    0
   337, 20049,19590909,   50,    0
   337, 20049,19590910,  360,    0
   337, 20049,19590911,  250,    0
   337, 20049,19590912,  320,    0
   337, 20049,19590913,  250,    0
   337, 20049,19590914,  300,    0
   337, 20049,19590915,  270,    0
   337, 20049,19590916,  270,    0
   337, 20049,19590917,  270,    0
   337, 20049,19590918,  260,    0
   337, 20049,19590919,  250,    0
   337, 20049,19590920,  170,    0
   337, 20049,19590921,  120,    0
   337, 20049,19590922,  130,    0
   337, 20049,19590923,  270,    0
   337, 20049,19590924,  320,    0
   337, 20049,19590925,  230,    0
   337, 20049,19590926,  240,    0
   337, 20049,19590927,  230,    0
   337, 20049,19590928,    0,    0
   337, 20049,19590929,    0,    0
   337, 20049,19590930,    0,    0
   337, 20049,19591001,    0,    0
   337, 20049,19591002,  230,    0
   337, 20049,19591003,  230,    0
   337, 20049,19591004,  230,    0
   337, 20049,19591005,  230,    0
   337, 20049,19591006,    0,    0
   337, 20049,19591007,   50,    0
   337, 20049,19591008,  200,    0
   337, 20049,19591009,  270,    0
   337, 20049,19591010,  300,    0
   337, 20049,19591011,   50,    0
   337, 20049,19591012,   90,    0
   337, 20049,19591013,    0,    0
   337, 20049,19591014,  140,    0
   337, 20049,19591015,  250,    0
   337, 20049,19591016,  260,    0
   337, 20049,19591017,  260,    0
   337, 20049,19591018,  270,    0
   337, 20049,19591019,  230,    0
   337, 20049,19591020,  340,    0
   337, 20049,19591021,   90,    0
   337, 20049,19591022,   50,    0
   337, 20049,19591023,   50,    0
   337, 20049,19591024,   50,    0
   337, 20049,19591025,  260,    0
   337, 20049,19591026,    0,    0
   337, 20049,19591027,  230,    0
   337, 20049,19591028,  290,    0
   337, 20049,19591029,  310,    0
   337, 20049,19591030,    0,    0
   337, 20049,19591031,    0,    0
   337, 20049,19591101,   90,    0
   337, 20049,19591102,    0,    0
   337, 20049,19591103,  270,    0
   337, 20049,19591104,   50,    0
   337, 20049,19591105,   50,    0
   337, 20049,19591106,  270,    0
   337, 20049,19591107,    0,    0
   337, 20049,19591108,    0,    0
   337, 20049,19591109,    0,    0
   337, 20049,19591110,  270,    0
   337, 20049,19591111,  240,    0
   337, 20049,19591112,  290,    0
   337, 20049,19591113,    0,    0
   337, 20049,19591114,  270,    0
   337, 20049,19591115,  270,    0
   337, 20049,19591116,  140,    0
   337, 20049,19591117,  200,    0
   337, 20049,19591118,  310,    0
   337, 20049,19591119,    0,    0
   337, 20049,19591120,   90,    0
   337, 20049,19591121,  230,    0
   337, 20049,19591122,    0,    0
   337, 20049,19591123,    0,    0
   337, 20049,19591124,    0,    0
   337, 20049,19591125,    0,    0
   337, 20049,19591126,   20,    0
   337, 20049,19591127,    0,    0
   337, 20049,19591128,    0,    0
   337, 20049,19591129,  230,    0
   337, 20049,19591130,  230,    0
   337, 20049,19591201,  280,    0
   337, 20049,19591202,  230,    0
   337, 20049,19591203,  230,    0
   337, 20049,19591204,  270,    0
   337, 20049,19591205,  230,    0
   337, 20049,19591206,   50,    0
   337, 20049,19591207,  270,    0
   337, 20049,19591208,  270,    0
   337, 20049,19591209,  220,    0
   337, 20049,19591210,  270,    0
   337, 20049,19591211,  240,    0
   337, 20049,19591212,  290,    0
   337, 20049,19591213,    0,    0
   337, 20049,19591214,    0,    0
   337, 20049,19591215,  230,    0
   337, 20049,19591216,  230,    0
   337, 20049,19591217,    0,    0
   337, 20049,19591218,    0,    0
   337, 20049,19591219,   90,    0
   337, 20049,19591220,    0,    0
   337, 20049,19591221,  230,    0
   337, 20049,19591222,  260,    0
   337, 20049,19591223,  230,    0
   337, 20049,19591224,  230,    0
   337, 20049,19591225,    0,    0
   337, 20049,19591226,    0,    0
   337, 20049,19591227,  240,    0
   337, 20049,19591228,  240,    0
   337, 20049,19591229,   50,    0
   337, 20049,19591230,   60,    0
   337, 20049,19591231,   50,    0
   337, 20049,19600101,-9999,    9
   337, 20049,19600102,-9999,    9
   337, 20049,19600103,-9999,    9
   337, 20049,19600104,-9999,    9
   337, 20049,19600105,-9999,    9
   337, 20049,19600106,-9999,    9
   337, 20049,19600107,-9999,    9
   337, 20049,19600108,-9999,    9
   337, 20049,19600109,-9999,    9
   337, 20049,19600110,-9999,    9
   337, 20049,19600111,-9999,    9
   337, 20049,19600112,-9999,    9
   337, 20049,19600113,-9999,    9
   337, 20049,19600114,-9999,    9
   337, 20049,19600115,-9999,    9
