EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME
  120,903966,GURTEEN                                 ,IE,+53:01:00,-008:00:00,  76, FX4,20100419,20190427,    -,Synoptical message from GTS
  121,116278,DUBLIN PHOENIX PARK                     ,IE,+53:21:50,-006:19:09,  49, FX1,20070801,20171109,   17,Conor Daly                                        
  121,116288,DUBLIN AIRPORT                          ,IE,+53:25:41,-006:14:27,  71, FX1,19440204,20190421,   17,Conor Daly                                        
  122,116277,MALIN HEAD                              ,IE,+55:22:18,-007:20:24,  21, FX1,20090611,20190422,   17,Conor Daly                                        
  122,116289,MALIN HEAD                              ,IE,+55:22:18,-007:20:24,  21, FX1,19550502,20100531,   17,Conor Daly                                        
  122,903980,MALIN HEAD                              ,IE,+55:22:00,-007:19:59,  21, FX4,20000228,20190427,    -,Synoptical message from GTS
  123,116282,VALENTIA OBSERVATORY                    ,IE,+51:56:22,-010:13:19,   9, FX1,19391001,20100531,   17,Conor Daly                                        
  123,903953,VALENTIA OBSERVATORY                    ,IE,+51:55:59,-010:15:00,  30, FX4,20000228,20190427,    -,Synoptical message from GTS
  160,113463,TEXELHORS_MM                            ,NL,+52:59:42,+004:43:12,   1, FX1,19710101,20190430,   19,Ge Verver                                         
  160,113570,DE KOOY                                 ,NL,+52:55:36,+004:46:51,   1, FX1,19720801,20190430,   19,Ge Verver                                         
  160,115802,DEN HELDER                              ,NL,+52:57:41,+004:44:49,   4, FX1,19710101,19720730,   19,Ge Verver                                         
  160,906235,DE KOOIJ                                ,NL,+52:55:59,+004:46:59,   2, FX4,20000228,20190430,    -,Synoptical message from GTS
  161,113463,TEXELHORS_MM                            ,NL,+52:59:42,+004:43:12,   1, FX1,19710101,20190430,   19,Ge Verver                                         
  161,113570,DE KOOY                                 ,NL,+52:55:36,+004:46:51,   1, FX1,19720801,20190430,   19,Ge Verver                                         
  161,115802,DEN HELDER                              ,NL,+52:57:41,+004:44:49,   4, FX1,19710101,19720730,   19,Ge Verver                                         
  161,906235,DE KOOIJ                                ,NL,+52:55:59,+004:46:59,   2, FX4,20000228,20190430,    -,Synoptical message from GTS
  162,113585,DE BILT                                 ,NL,+52:05:56,+005:10:46,   2, FX1,19510101,20190430,   19,Ge Verver                                         
  162,906260,DE BILT                                 ,NL,+52:06:00,+005:10:59,   4, FX4,20000228,20190430,    -,Synoptical message from GTS
  164,113612,EELDE                                   ,NL,+53:07:24,+006:35:04,   5, FX1,19710101,20190430,   19,Ge Verver                                         
  164,906280,EELDE/GRONINGEN AP EELDE                ,NL,+53:07:00,+006:34:59,   4, FX4,20000228,20190430,    -,Synoptical message from GTS
  166,113624,VLISSINGEN                              ,NL,+51:26:29,+003:35:44,   8, FX1,19710101,20190430,   19,Ge Verver                                         
  166,906310,VLISSINGEN                              ,NL,+51:27:00,+003:36:00,  10, FX4,20000228,20190430,    -,Synoptical message from GTS
  168,113660,MAASTRICHT                              ,NL,+50:54:19,+005:45:42, 114, FX1,19710101,20190430,   19,Ge Verver                                         
  168,906380,BEEK/MAASTRICHT AP/MAASTRICHT AACHEN    ,NL,+50:55:00,+005:46:59, 116, FX4,20000228,20190430,    -,Synoptical message from GTS
  179,114765,BJOERNOEYA                              ,NO,+74:31:00,+019:01:00,  16, FX5,19820101,20190430,   22,Hans Olav Hygen                                   
  186,114678,SVALBARD AIRPORT                        ,NO,+78:15:00,+015:28:00,  28, FX5,20090901,20190430,   22,Hans Olav Hygen                                   
  186,901008,SVALBARD AP                             ,NO,+78:15:00,+015:28:00,  29, FX4,20000228,20190430,    -,Synoptical message from GTS
  187,114675,HOPEN                                   ,NO,+76:30:00,+025:04:00,   6, FX5,19871001,20190430,   22,Hans Olav Hygen                                   
  187,901062,HOPEN                                   ,NO,+76:30:00,+025:04:00,  10, FX4,20000228,20190430,    -,Synoptical message from GTS
  189,114681,JAN MAYEN                               ,NO,+70:55:59,-008:40:00,  10, FX5,20090901,20190430,   22,Hans Olav Hygen                                   
  189,901001,JAN MAYEN                               ,NO,+70:55:59,-008:39:59,   9, FX4,20000228,20190430,    -,Synoptical message from GTS
  190,114654,KARASJOK                                ,NO,+69:28:00,+025:30:11, 129, FX5,20040711,20040729,   22,Hans Olav Hygen                                   
  190,114657,KARASJOK-MARKANNJARGA                   ,NO,+69:27:48,+025:30:07, 131, FX5,20040708,20190430,   22,Hans Olav Hygen                                   
  190,901065,KARASJOK                                ,NO,+69:28:00,+025:31:00, 133, FX4,20000228,20190430,    -,Synoptical message from GTS
  192,114642,FAERDER FYR                             ,NO,+59:01:36,+010:31:48,   6, FX5,19820101,20190430,   22,Hans Olav Hygen                                   
  192,901482,FERDER LH                               ,NO,+59:01:59,+010:31:59,   8, FX4,20000228,20190430,    -,Synoptical message from GTS
  193,114723,OSLO BLINDERN                           ,NO,+59:56:34,+010:43:14,  94, FX5,19820101,20190430,   22,Hans Olav Hygen                                   
  193,901492,OSLO-BLINDERN                           ,NO,+59:57:00,+010:43:00,  96, FX4,20000228,20190430,    -,Synoptical message from GTS
  194,114705,UTSIRA FYR                              ,NO,+59:18:28,+004:52:41,  55, FX5,20090901,20190430,   22,Hans Olav Hygen                                   
  194,901403,UTSIRA LH                               ,NO,+59:18:00,+004:52:59,  56, FX4,20000228,20190430,    -,Synoptical message from GTS
  195,114672,VARDOE                                  ,NO,+70:22:01,+031:05:04,  14, FX5,20090901,20190430,   22,Hans Olav Hygen                                   
  195,901098,VARDO                                   ,NO,+70:21:59,+031:06:00,  15, FX4,20000228,20190430,    -,Synoptical message from GTS
  203,114615,LUXEMBOURG AIRPORT                      ,LU,+49:37:33,+006:12:12, 376, FX2,19990501,20190401,   25,Jacques Zimmer                                    
  203,906590,LUXEMBOURG/LUXEMBOURG                   ,LU,+49:37:00,+006:13:00, 376, FX4,20000228,20190430,    -,Synoptical message from GTS
  229,115629,BADAJOZ/TALAVERA LA REAL                ,ES,+38:52:59,-006:49:45, 185, FX1,19550101,20190430,   31,Antonio Mestre Barcelo                            
  229,908330,BADAJOZ/TALAVERA LA REAL                ,ES,+38:52:59,-006:49:59, 192, FX4,20000228,20190201,    -,Synoptical message from GTS
  230,115630,MADRID - RETIRO                         ,ES,+40:24:42,-003:40:41, 667, FX1,19210101,20190203,   31,Antonio Mestre Barcelo                            
  230,120284,MADRID/CUATROVIENTOS                    ,ES,+40:22:40,-003:47:21, 687, FX1,19610101,20190430,   31,Antonio Mestre Barcelo                            
