EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 countrycodes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 76 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
  438,CABAUW                                  ,NL,+51:58:09,+004:55:32,    0
  442,VOLKEL                                  ,NL,+51:39:29,+005:42:24,   20
  451,BERKHOUT                                ,NL,+52:38:34,+004:58:44,   -2
  453,HEINO                                   ,NL,+52:26:03,+006:15:32,    3
  454,HUPSEL                                  ,NL,+52:04:04,+006:39:24,   29
  455,TENERIFE/LOS RODEOS                     ,ES,+28:28:39,-016:19:45,  632
  464,ARCEN                                   ,NL,+51:29:49,+006:11:45,   19
  467,UFS TW EMS                              ,DE,+54:10:00,+006:21:00,    0
  468,HELGOLAND                               ,DE,+54:10:35,+007:53:35,    4
  469,LIST/SYLT                               ,DE,+55:00:45,+008:24:45,   26
  470,SCHLESWIG                               ,DE,+54:31:44,+009:32:57,   43
  471,WESTERMARKELSDORF/FEHMARN               ,DE,+54:31:46,+011:03:42,    3
  472,ROSTOCK-WARNEMUNDE                      ,DE,+54:10:54,+012:04:55,    4
  473,GREIFSWALD                              ,DE,+54:05:52,+013:24:27,    2
  474,EMDEN-FLUGPLATZ                         ,DE,+53:23:21,+007:13:36,    0
  475,NEURUPPIN                               ,DE,+52:54:19,+012:48:30,   38
  476,HANNOVER                                ,DE,+52:27:56,+009:40:46,   55
  477,MAGDEBURG                               ,DE,+52:06:11,+011:35:03,   76
  478,HERWIJNEN                               ,NL,+51:51:28,+005:08:43,    0
  479,DUSSELDORF                              ,DE,+51:17:49,+006:46:12,   37
  480,KASSEL                                  ,DE,+51:17:52,+009:26:36,  231
  482,LEIPZIG-SCHKEUDITZ                      ,DE,+51:26:09,+012:14:29,  131
  483,DRESDEN-KLOTZSCHE                       ,DE,+51:07:45,+013:45:21,  227
  484,GORLITZ                                 ,DE,+51:09:47,+014:57:11,  238
  485,NURBURG-BARWEILER                       ,DE,+50:21:39,+006:52:13,  485
  486,MEININGEN                               ,DE,+50:33:45,+010:22:37,  450
  487,ERFURT-BINDERSLEBEN                     ,DE,+50:59:04,+010:57:47,  316
  488,FICHTELBERG                             ,DE,+50:25:45,+012:57:19, 1213
