EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 countrycodes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 76 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
 3993,GROSSER ARBER                           ,DE,+49:06:50,+013:08:07, 1436
 3994,ARKONA                                  ,DE,+54:40:54,+013:26:12,   42
 3995,KIEL-HOLTENAU                           ,DE,+54:22:32,+010:08:38,   27
 3996,KOLN-BONN                               ,DE,+50:51:57,+007:09:30,   92
 3997,LAHR                                    ,DE,+48:21:56,+007:49:44,  155
 3998,LEUCHTTURM KIEL                         ,DE,+54:30:01,+010:16:28,    5
 3999,BAD LIPPSPRINGE                         ,DE,+51:47:12,+008:50:22,  157
 4000,MARNITZ                                 ,DE,+53:19:27,+011:56:00,   81
 4001,NORDERNEY                               ,DE,+53:42:50,+007:09:09,   11
 4002,OBERSTDORF                              ,DE,+47:23:56,+010:16:36,  806
 4003,OHRINGEN                                ,DE,+49:12:29,+009:31:06,  276
 4004,REGENSBURG                              ,DE,+49:02:36,+012:06:11,  365
 4005,BERLIN-TEGEL                            ,DE,+52:33:56,+013:18:38,   36
 4006,STOTTEN                                 ,DE,+48:40:00,+009:51:56,  734
 4007,WASSERKUPPE                             ,DE,+50:29:52,+009:56:38,  921
 4008,WEIDEN                                  ,DE,+49:40:01,+012:11:08,  440
 4009,WENDELSTEIN                             ,DE,+47:42:15,+012:00:47, 1832
 4010,FURSTENZELL                             ,DE,+48:32:45,+013:21:16,  476
 4011,HAHN                                    ,DE,+49:56:51,+007:15:52,  497
 4012,MANNHEIM                                ,DE,+49:30:36,+008:33:18,   96
 4013,OFFENBACH-WETTERPARK                    ,DE,+50:05:21,+008:47:11,  119
 4014,COTTBUS                                 ,DE,+51:46:39,+014:19:06,   69
 4015,CUXHAVEN                                ,DE,+53:52:23,+008:42:24,    5
 4016,UFS DEUTSCHE BUCHT                      ,DE,+54:10:00,+007:27:00,    0
 4018,DOBERLUG-KIRCHHAIN                      ,DE,+51:38:48,+013:34:36,   97
 4038,EGGEBEK                                 ,DE,+54:37:46,+009:22:01,   18
 4048,ELPERSBUTTEL                            ,DE,+54:04:15,+009:00:41,    3
 4053,EMDEN-NESSERLAND                        ,DE,+53:20:47,+007:11:30,    5
 4054,EMDEN-WOLTHUSEN                         ,DE,+53:22:19,+007:13:27,    0
 4062,ALTENSTADT                              ,DE,+47:50:11,+010:52:19,  756
 4070,ESCHWEGE                                ,DE,+51:11:04,+010:03:54,  170
 4074,ESSEN-BREDENEY                          ,DE,+51:24:20,+006:58:06,  150
 4080,FASSBERG                                ,DE,+52:55:09,+010:11:02,   73
 4083,FICHTELBERG/OBERFRANKEN-HUTTSTADL       ,DE,+49:58:54,+011:50:21,  657
 4085,WAIBSTADT                               ,DE,+49:17:43,+008:54:23,  237
 4090,ROCKENDORF                              ,DE,+50:40:57,+011:30:59,  280
 4096,FLENSBURG (SCHAFERHAUS)                 ,DE,+54:46:37,+009:22:36,   41
 4107,FRANKFURT/MAIN (FELDBERGSTR.)           ,DE,+50:07:21,+008:39:39,  109
 4108,FRANKFURT/ODER                          ,DE,+52:21:55,+014:32:16,   48
 4114,FREIBURG                                ,DE,+48:01:27,+007:50:07,  236
 4119,FRIEDRICHSHAFEN                         ,DE,+47:38:45,+009:28:50,  394
 4121,FRIESOYTHE-EDEWECHTERDAM                ,DE,+53:05:22,+007:56:33,    8
 4128,FULDA                                   ,DE,+50:32:04,+009:40:33,  255
 4129,GARDELEGEN                              ,DE,+52:30:51,+011:23:52,   47
 4131,GARMISCH-PARTENKIRCHEN                  ,DE,+47:29:02,+011:03:48,  719
 4134,GEISENHEIM                              ,DE,+49:59:06,+007:57:16,  110
 4137,GELBELSEE                               ,DE,+48:56:56,+011:25:48,  536
 4141,GENTHIN                                 ,DE,+52:23:21,+012:09:48,   35
 4147,GLUCKSBURG-MEIERWIK                     ,DE,+54:50:56,+009:30:29,   27
 4151,GOTTINGEN                               ,DE,+51:30:06,+009:57:10,  167
 4152,GOLDBERG                                ,DE,+53:36:25,+012:06:15,   58
 4160,GREIFSWALDER OIE                        ,DE,+54:14:44,+013:54:45,   12
 4161,ANSBACH                                 ,DE,+49:17:51,+010:34:35,  413
 4164,GROSS LUSEWITZ                          ,DE,+54:04:23,+012:19:32,   34
 4171,GRUNOW                                  ,DE,+53:19:00,+013:56:09,   56
 4176,HAGEN-FLEY                              ,DE,+51:24:51,+007:29:25,  100
 4177,AROLSEN-NEU BERICH                      ,DE,+51:23:08,+009:04:59,  232
 4184,HAMBURG-SANKT PAULI                     ,DE,+53:32:53,+009:58:13,   35
 4185,ARTERN                                  ,DE,+51:22:32,+011:17:35,  164
 4187,HAMELN                                  ,DE,+52:05:06,+009:23:21,   68
 4191,HARBURG                                 ,DE,+48:47:34,+010:42:27,  502
 4194,HARZGERODE                              ,DE,+51:39:11,+011:08:15,  404
 4215,HERRNHUT                                ,DE,+51:01:00,+014:45:00,  344
 4217,BAD HERSFELD                            ,DE,+50:51:11,+009:44:18,  272
 4229,AUE                                     ,DE,+50:35:30,+012:42:56,  387
 4231,BERTSDORF-HORNITZ                       ,DE,+50:54:02,+014:44:51,  270
 4236,HOHN                                    ,DE,+54:18:46,+009:32:21,   10
 4238,HOLZDORF (FLUGPLATZ)                    ,DE,+51:46:06,+013:10:05,   81
 4246,HOPSTEN (FLUGPLATZ)                     ,DE,+52:19:59,+007:33:00,   39
 4248,HORNISGRINDE                            ,DE,+48:36:51,+008:12:15, 1119
 4252,HUSUM                                   ,DE,+54:28:36,+009:03:26,    3
 4253,IDAR-OBERSTEIN                          ,DE,+49:42:00,+007:19:59,  376
 4258,INGOLSTADT (FLUGPLATZ)                  ,DE,+48:42:56,+011:32:00,  364
 4261,ITZEHOE                                 ,DE,+53:59:22,+009:34:10,   21
 4262,SCHLESWIG-JAGEL                         ,DE,+54:27:24,+009:31:14,   21
 4265,JEVER                                   ,DE,+53:31:55,+007:52:50,    7
 4270,KAISERSBACH-CRONHUTTE                   ,DE,+48:55:05,+009:41:17,  489
 4272,KALKAR                                  ,DE,+51:44:04,+006:15:56,   31
 4273,KALL-SISTIG                             ,DE,+50:30:10,+006:31:36,  505
 4275,KALTENNORDHEIM                          ,DE,+50:37:40,+010:08:48,  487
 4281,KIEL-KRONSHAGEN                         ,DE,+54:20:21,+010:05:39,   17
 4285,BAD KISSINGEN                           ,DE,+50:13:32,+010:04:49,  282
 4288,KLEINER FELDBERG/TAUNUS                 ,DE,+50:13:21,+008:26:53,  826
 4294,KLIPPENECK                              ,DE,+48:06:23,+008:45:20,  973
 4313,KUMMERSBRUCK                            ,DE,+49:25:44,+011:54:07,  417
 4318,KYRITZ                                  ,DE,+52:56:17,+012:24:38,   40
 4322,LANDSBERG (FLUGPLATZ)                   ,DE,+48:04:36,+010:54:52,  621
 4328,LANGENLIPSDORF                          ,DE,+51:55:06,+013:05:20,   91
 4332,BAD LAUCHSTADT                          ,DE,+51:23:33,+011:52:48,  119
 4334,LAUPHEIM                                ,DE,+48:13:05,+009:54:34,  539
 4336,LECHFELD                                ,DE,+48:11:11,+010:51:02,  550
 4338,LECK                                    ,DE,+54:47:33,+008:56:57,    7
 4343,LEINEFELDE                              ,DE,+51:23:07,+010:18:06,  356
 4344,LEIPZIG-HOLZHAUSEN                      ,DE,+51:18:59,+012:26:51,  138
 4352,LICHTENHAIN-MITTELNDORF                 ,DE,+50:56:22,+014:12:39,  321
 4353,BARTH                                   ,DE,+54:20:26,+012:42:38,    3
 4360,LINGEN                                  ,DE,+52:31:09,+007:18:29,   22
 4363,BARUTH                                  ,DE,+52:03:43,+013:30:10,   55
 4371,LUBECK                                  ,DE,+53:52:44,+010:41:34,   15
 4372,LUBECK-BLANKENSEE                       ,DE,+53:48:38,+010:42:24,    5
 4374,LUCHOW                                  ,DE,+52:58:26,+011:08:21,   17
 4375,LUDENSCHEID (ZEPPELIN-GYMNASIUM)        ,DE,+51:12:51,+007:38:12,  444
 4376,LUDENSCHEID                             ,DE,+51:14:48,+007:38:35,  387
 4378,LUNEBURG                                ,DE,+53:16:01,+010:25:31,   11
 4386,MANSCHNOW                               ,DE,+52:32:53,+014:32:51,   12
 4389,MARIENBERG                              ,DE,+50:39:07,+013:08:54,  639
 4390,BAD MARIENBERG                          ,DE,+50:39:47,+007:57:34,  547
 4393,HEINERSREUTH-VOLLHOF                    ,DE,+49:58:04,+011:31:15,  350
 4399,MEINERZHAGEN (A)                        ,DE,+51:05:56,+007:40:04,  506
 4402,MEMMINGEN                               ,DE,+47:58:59,+010:08:21,  615
 4403,MEMMINGEN (FLUGPLATZ)                   ,DE,+47:58:59,+010:13:59,  630
 4404,MENDIG                                  ,DE,+50:22:00,+007:19:00,  181
 4406,MEPPEN                                  ,DE,+52:43:59,+007:19:59,   19
 4408,MESSSTETTEN                             ,DE,+48:11:04,+008:59:33,  920
 4414,MICHELSTADT-VIELBRUNN                   ,DE,+49:43:08,+009:06:02,  453
 4417,MITTEL-GRUNDAU                          ,DE,+50:13:46,+009:06:27,  155
 4419,BEERFELDEN                              ,DE,+49:33:46,+008:58:08,  450
 4427,MUHLACKER                               ,DE,+48:58:23,+008:52:27,  244
 4428,MUHLDORF                                ,DE,+48:16:48,+012:30:14,  405
 4430,MUNCHEBERG                              ,DE,+52:31:08,+014:07:30,   63
 4435,MUNCHEN-RIEM                            ,DE,+48:08:16,+011:42:38,  529
 4436,MUNSINGEN-APFELSTETTEN                  ,DE,+48:23:11,+009:29:03,  750
 4440,BELM                                    ,DE,+52:19:05,+008:10:14,  103
 4442,BAD NAUHEIM                             ,DE,+50:22:10,+008:45:56,  142
 4443,NEUBRANDENBURG                          ,DE,+53:32:53,+013:11:35,   81
 4444,NEUBURG/DONAU (FLUGPLATZ)               ,DE,+48:42:33,+011:12:36,  380
 4447,BENDORF                                 ,DE,+50:24:52,+007:35:21,  127
 4450,NEUHAUS AM RENNWEG                      ,DE,+50:30:05,+011:08:08,  845
 4451,NEUHAUSEN OB ECK                        ,DE,+47:58:36,+008:54:39,  793
 4462,NEUSTADT/WEINSTRASSE                    ,DE,+49:21:29,+008:08:29,  163
 4464,NEUSTRELITZ                             ,DE,+53:21:36,+013:03:06,   64
 4473,NORVENICH (FLUGPLATZ)                   ,DE,+50:49:44,+006:39:33,  111
 4474,NORDHOLZ (FLUGPLATZ)                    ,DE,+53:45:52,+008:39:27,   25
 4476,NURBURG                                 ,DE,+50:20:25,+006:57:02,  627
 4483,BERGEN                                  ,DE,+52:49:00,+009:55:59,   70
 4485,OBERSCHLEISSHEIM                        ,DE,+48:14:40,+011:33:14,  484
 4497,OLDENBURG                               ,DE,+53:10:41,+008:10:54,   11
 4498,OSCHATZ                                 ,DE,+51:17:49,+013:05:40,  150
 4499,OSNABRUCK                               ,DE,+52:15:25,+008:03:15,   95
 4500,OSTERFELD                               ,DE,+51:05:18,+011:55:53,  246
 4509,PASSAU-OBERHAUS                         ,DE,+48:34:44,+013:28:15,  409
 4511,PELZERHAKEN                             ,DE,+54:05:26,+010:52:42,    1
 4518,PFORZHEIM-ISPRINGEN                     ,DE,+48:55:58,+008:41:48,  333
 4522,PLAUEN                                  ,DE,+50:28:59,+012:07:54,  386
 4529,BERLIN-BUCH                             ,DE,+52:37:57,+013:30:14,   60
 4531,PUTBUS                                  ,DE,+54:21:56,+013:28:42,   40
 4534,QUEDLINBURG                             ,DE,+51:47:48,+011:07:59,  142
 4535,QUERFURT-MUHLE LODERSLEBEN              ,DE,+51:23:26,+011:32:34,  204
 4537,QUICKBORN                               ,DE,+53:44:04,+009:52:42,   13
 4544,KR. RAVENSBURG WEINGARTEN               ,DE,+47:48:25,+009:37:18,  440
 4557,RHEINE-BENTLAGE                         ,DE,+52:17:21,+007:23:11,   40
 4570,BERLIN-SCHONEFELD                       ,DE,+52:22:55,+013:31:57,   46
 4571,ROTH                                    ,DE,+49:12:57,+011:06:09,  385
 4591,BAD SALZUFLEN                           ,DE,+52:06:20,+008:45:11,  135
 4594,SANKT PETER-ORDING                      ,DE,+54:19:46,+008:36:10,    5
 4605,SCHIERKE                                ,DE,+51:46:00,+010:39:18,  609
 4607,SCHLEIZ                                 ,DE,+50:34:14,+011:48:20,  501
 4616,GROSSENKNETEN                           ,DE,+52:56:06,+008:14:08,   44
 4617,SCHMUCKE                                ,DE,+50:39:20,+010:46:15,  937
 4634,BERUS                                   ,DE,+49:15:55,+006:41:16,  363
 4636,SCHWESING                               ,DE,+54:31:05,+009:08:35,   37
 4637,SEEHAUSEN                               ,DE,+52:53:34,+011:43:50,   21
 4652,SOLTAU                                  ,DE,+52:57:42,+009:47:48,   76
 4655,SONNEBERG-NEUFANG                       ,DE,+50:22:32,+011:11:03,  626
 4670,STUTTGART-STADT                         ,DE,+48:46:13,+009:10:57,  286
 4676,TETEROW                                 ,DE,+53:45:45,+012:33:29,   38
 4680,THOLEY                                  ,DE,+49:28:28,+007:02:21,  386
 4692,TRAVEMUNDE                              ,DE,+53:57:51,+010:53:29,    2
 4698,TROLLENHAGEN                            ,DE,+53:36:07,+013:18:21,   69
 4700,TUBINGEN                                ,DE,+48:31:14,+009:03:09,  370
 4705,UECKERMUNDE                             ,DE,+53:44:45,+014:04:10,    1
 4708,ULM                                     ,DE,+48:23:04,+009:57:14,  567
 4709,UMMENDORF                               ,DE,+52:09:42,+011:10:36,  162
 4714,VOLKLINGEN-STADT                        ,DE,+49:15:33,+006:51:42,  220
 4726,AHRENSBURG-WULFSDORF                    ,DE,+53:39:50,+010:12:01,   46
 4728,WALDHAUSER (NATIONAL PARK)              ,DE,+48:55:49,+013:27:56,  940
 4733,WARBURG                                 ,DE,+51:30:19,+009:06:46,  236
 4734,WAREN                                   ,DE,+53:31:17,+012:40:09,   70
 4741,WEIHENSTEPHAN-DURNAST                   ,DE,+48:24:11,+011:41:44,  477
 4743,WEIMAR                                  ,DE,+50:58:32,+011:18:33,  264
 4745,WEINBIET                                ,DE,+49:22:36,+008:07:21,  553
 4750,WEISSENBURG                             ,DE,+49:01:13,+010:57:42,  422
 4756,WERL                                    ,DE,+51:34:40,+007:53:20,   85
 4758,WERNIGERODE                             ,DE,+51:50:52,+010:46:10,  234
 4762,WIELENBACH (DEMOLLSTR.)                 ,DE,+47:53:00,+011:09:32,  550
 4763,BOCHOLT (MARIENSCHULE)                  ,DE,+51:50:21,+006:36:41,   25
 4766,WIESENBURG                              ,DE,+52:07:19,+012:27:36,  187
 4767,BOCHOLT                                 ,DE,+51:49:51,+006:32:09,   21
 4776,WITTENBERG                              ,DE,+51:53:25,+012:38:47,  105
 4777,WITTMUNDHAFEN                           ,DE,+53:33:00,+007:40:00,    8
 4782,WOLDEGK                                 ,DE,+53:27:47,+013:36:42,  118
 4784,WOLFSBURG                               ,DE,+52:26:33,+010:45:36,   56
 4790,WUNSTORF                                ,DE,+52:27:29,+009:25:41,   57
 4795,WRIXUM/FOHR                             ,DE,+54:41:39,+008:31:41,    8
 4796,ZEHDENICK                               ,DE,+52:58:05,+013:19:41,   51
 4801,ZINNWALD-GEORGENFELD                    ,DE,+50:43:58,+013:45:11,  877
 4803,LICHTENTANNE                            ,DE,+50:41:21,+012:26:03,  353
 4804,ZWIESEL                                 ,DE,+49:01:45,+013:14:25,  615
 4808,BERGE                                   ,DE,+52:37:14,+012:47:20,   40
 4815,BOIZENBURG                              ,DE,+53:23:35,+010:41:21,   45
 4818,SCHONHAGEN (OSTSEEBAD)                  ,DE,+54:38:27,+010:01:28,    2
 4820,BOLTENHAGEN                             ,DE,+54:00:15,+011:11:31,   15
 4823,BONN-FRIESDORF                          ,DE,+50:42:24,+007:08:51,   62
 4825,BONN-ROLEBER                            ,DE,+50:44:11,+007:11:38,  159
 4838,DORPEN                                  ,DE,+52:57:19,+007:19:09,    8
 4839,DORNICK                                 ,DE,+54:10:00,+010:21:14,   26
 4845,SELB-SPIELBERG                          ,DE,+50:09:34,+012:02:25,  610
 4846,LUGDE-PAENBRUCH                         ,DE,+51:52:04,+009:16:19,  258
 4848,BORKUM-SUDERSTRASSE                     ,DE,+53:34:49,+006:40:22,   12
 4867,NOSSEN                                  ,DE,+51:03:06,+013:18:09,  308
 4870,RUNKEL-ENNERICH                         ,DE,+50:23:44,+008:08:39,  168
 4873,BRAKE                                   ,DE,+53:19:03,+008:28:48,    1
 4879,BRAUNLAGE                               ,DE,+51:43:30,+010:36:14,  607
 4882,BRAUNSCHWEIG                            ,DE,+52:17:25,+010:26:54,   81
 4885,BREMERHAVEN                             ,DE,+53:32:04,+008:34:37,    7
 4888,BREMERVORDE                             ,DE,+53:29:56,+009:10:23,    3
 4890,ESCHBACH                                ,DE,+47:53:12,+007:39:42,  234
 4903,ALBSTADT-ONSTMETTINGEN                  ,DE,+48:16:39,+009:00:03,  794
 4911,FELDBERG/MECKLENBURG                    ,DE,+53:19:03,+013:25:03,  115
 4913,ALFELD                                  ,DE,+51:58:01,+009:48:15,  144
 4914,EISENACH                                ,DE,+51:00:09,+010:21:48,  312
 4915,FEUCHTWANGEN-HEILBRONN                  ,DE,+49:09:47,+010:22:01,  475
 4917,WALDMUNCHEN                             ,DE,+49:23:31,+012:41:07,  499
 4919,AHAUS                                   ,DE,+52:04:58,+006:56:30,   46
 4920,HECKELBERG                              ,DE,+52:44:45,+013:50:31,   82
 4922,HOYERSWERDA                             ,DE,+51:27:02,+014:15:15,  116
 4923,WUNSIEDEL-SCHONBRUNN                    ,DE,+50:01:54,+011:58:27,  622
 4924,GOTTFRIEDING                            ,DE,+48:39:38,+012:32:25,  350
 4925,HOHERODSKOPF/VOGELSBERG                 ,DE,+50:30:30,+009:13:28,  743
 4927,LEUTKIRCH-HERLAZHOFEN                   ,DE,+47:47:47,+010:02:00,  672
 4928,NEU-ULRICHSTEIN                         ,DE,+50:45:11,+009:01:24,  350
 4929,NEUHUTTEN/SPESSART                      ,DE,+50:00:33,+009:25:30,  340
 4940,BUCHEL (FLUGPLATZ)                      ,DE,+50:10:26,+007:03:47,  477
 4941,BUCKEBURG                               ,DE,+52:16:54,+009:05:16,   68
 4950,CARLSFELD                               ,DE,+50:25:55,+012:36:46,  897
 4952,CELLE                                   ,DE,+52:35:43,+010:01:41,   39
 4954,CHEMNITZ                                ,DE,+50:47:33,+012:52:24,  418
 4955,CHIEMING                                ,DE,+47:53:07,+012:32:30,  551
 4958,LAUTERTAL-OBERLAUTER                    ,DE,+50:18:29,+010:58:09,  345
 4970,DEUSELBACH                              ,DE,+49:45:47,+007:03:20,  481
 4971,DIEPHOLZ                                ,DE,+52:35:25,+008:20:47,   39
 4992,NELAUG                                  ,NO,+58:39:29,+008:37:53,  142
 4993,LANDVIK                                 ,NO,+58:20:24,+008:31:21,    6
 5001,ALTA LUFTHAVN                           ,NO,+69:58:39,+023:21:29,    3
 5002,HAMMERFEST LUFTHAVN                     ,NO,+70:40:50,+023:40:37,   81
 5003,HONNINGSVAG LUFTHAVN                    ,NO,+71:00:38,+025:58:41,   14
 5004,MEHAMN LUFTHAVN                         ,NO,+71:01:59,+027:49:46,   13
 5005,BERLEVAG LUFTHAVN                       ,NO,+70:52:14,+029:02:04,   13
 5009,VADSO LUFTHAVN                          ,NO,+70:03:55,+029:50:07,   39
 5018,HAMAR - STAVSBERG                       ,NO,+60:49:05,+011:04:10,  221
 5031,MIDTLAEGER                              ,NO,+59:50:02,+006:59:29, 1079
 5046,SVINOY FYR                              ,NO,+62:19:45,+005:16:05,   38
 5047,MOLDE LUFTHAVN                          ,NO,+62:44:39,+007:15:42,    3
 5049,KRISTIANSUND LUFTHAVN                   ,NO,+63:06:33,+007:48:56,   62
 5051,SMOLA - MOLDSTAD                        ,NO,+63:25:10,+008:03:47,   30
 5052,ORSTA-VOLDA LUFTHAVN                    ,NO,+62:10:51,+006:04:50,   74
 5054,VIGRA                                   ,NO,+62:33:42,+006:06:54,   22
 5056,BRONNOYSUND LUFTHAVN                    ,NO,+65:27:24,+012:13:05,    9
 5060,EVENES LUFTHAVN                         ,NO,+68:29:27,+016:40:59,   26
 5065,LEKNES LUFTHAVN                         ,NO,+68:09:18,+013:36:54,   26
 5066,SANDNESSJOEN LH - STOKKA                ,NO,+65:57:38,+012:28:17,   17
 5069,VALLJORD                                ,NO,+67:21:38,+015:35:21,    3
 5070,NARVIK LUFTHAVN                         ,NO,+68:26:22,+017:23:18,   31
 5071,SVOLVAER LUFTHAVN                       ,NO,+68:14:43,+014:40:09,    9
 5073,STOKMARKNES LH - SKAGEN                 ,NO,+68:34:48,+015:01:45,    3
 5074,MO I RANA LUFTHAVN                      ,NO,+66:21:51,+014:18:05,   70
 5078,NAMSOS LUFTHAVN                         ,NO,+64:28:14,+011:34:14,    2
 5083,SKLINNA FYR                             ,NO,+65:12:07,+010:59:47,   23
 5085,VENABU                                  ,NO,+61:39:05,+010:06:30,  930
 5089,SOGNEFJELLHYTTA                         ,NO,+61:33:52,+007:59:52, 1413
 5093,LOKEN I VOLBU                           ,NO,+61:07:18,+009:03:47,  521
 5094,FILEFJELL - KYRKJESTOLANE               ,NO,+61:10:41,+008:06:45,  956
 5104,HAUGESUND LUFTHAVN                      ,NO,+59:20:58,+005:11:52,   24
 5113,FURENESET                               ,NO,+61:17:34,+005:02:39,    7
 5114,FLORO LUFTHAVN                          ,NO,+61:34:59,+005:01:40,    9
 5118,SOGNDAL LUFTHAVN                        ,NO,+61:09:29,+007:08:29,  497
 5120,SANDANE                                 ,NO,+61:47:17,+006:11:00,   51
 5121,SANDANE LUFTHAVN                        ,NO,+61:49:45,+006:06:15,   60
 5132,BUHOLMRASA FYR                          ,NO,+64:24:05,+010:27:18,   18
 5137,SULA                                    ,NO,+63:50:48,+008:28:00,    5
 5140,NY-ALESUND                              ,NO,+78:55:23,+011:55:59,    8
 5142,MOSSTRAND II                            ,NO,+59:50:22,+008:10:45,  977
 5146,SKIEN - GEITERYGGEN                     ,NO,+59:10:59,+009:34:00,  136
 5149,HEKKINGEN FYR                           ,NO,+69:36:02,+017:50:14,   14
 5150,TROMSO - LANGNES                        ,NO,+69:40:36,+018:54:47,    8
 5152,SORKJOSEN LUFTHAVN                      ,NO,+69:47:20,+020:57:19,    6
 5153,NORDSTRAUM I KVAENANGEN                 ,NO,+69:50:00,+021:53:03,    6
 5160,MELSOM                                  ,NO,+59:13:48,+010:20:53,   26
 5161,TORP                                    ,NO,+59:11:03,+010:15:19,   88
 6937,WAGENINGEN - HAARWEG                    ,NL,+51:58:00,+005:37:59,    7
 8555,WAGENINGEN - VEENKAMPEN                 ,NL,+51:58:53,+005:37:18,    5
10961,VOORSCHOTEN                             ,NL,+52:08:22,+004:26:11,   -1
10981,P11-B                                   ,NL,+52:22:00,+003:21:00,   23
10982,F3-FB-1                                 ,NL,+54:51:14,+004:43:39,    0
11008,ATHENRY                                 ,IE,+53:16:48,-008:46:47,   40
11010,ALGUAIRE                                ,ES,+41:44:34,+000:32:08,  370
11011,AMPOSTA                                 ,ES,+40:42:28,+000:37:55,    3
11012,ANGLES                                  ,ES,+41:57:38,+002:37:51,  150
11013,BANYOLES                                ,ES,+42:06:59,+002:47:22,  176
11014,BARCELONA-EL RAVAL                      ,ES,+41:23:02,+002:10:03,   33
11015,BARCELONA-ZONA UNIVERSITARIA            ,ES,+41:22:45,+002:06:19,   79
11016,BENISSANET                              ,ES,+41:03:46,+000:38:06,   32
11017,BOI                                     ,ES,+42:27:57,+000:53:03, 2535
11018,BONAIGUA                                ,ES,+42:38:48,+000:59:04, 2266
11019,CABRILS                                 ,ES,+41:31:04,+002:22:36,   81
11020,CADI NORD-PRAT DAGUILO                  ,ES,+42:17:33,+001:42:54, 2143
11021,CALDES DE MONTBUI                       ,ES,+41:36:46,+002:10:05,  176
11022,CASTELLBISBAL                           ,ES,+41:28:44,+001:58:32,  147
11023,CASTELL DARO                            ,ES,+41:48:30,+003:01:57,   14
11024,CASTELLNOU DE BAGES                     ,ES,+41:49:50,+001:50:48,  507
11025,CASTELLNOU DE SEANA                     ,ES,+41:39:24,+000:57:06,  264
11026,CERTASCAN                               ,ES,+42:41:00,+001:16:18, 2400
11027,CERVERA                                 ,ES,+41:40:32,+001:17:45,  554
11028,CONSTANTI                               ,ES,+41:10:17,+001:10:04,  112
11029,CUNIT                                   ,ES,+41:12:06,+001:37:59,   17
11030,DAS-AERODROM                            ,ES,+42:23:09,+001:51:59, 1097
11031,EL PERELLO                              ,ES,+40:52:22,+000:42:56,  179
11032,EL PONT DE SUERT                        ,ES,+42:23:53,+000:44:36,  823
11033,EL PORT DEL COMTE                       ,ES,+42:10:57,+001:31:27, 2316
11034,EL PRAT DE LLOBREGAT                    ,ES,+41:20:25,+002:04:49,    8
11035,ELS HOSTALETS DE PIEROLA                ,ES,+41:31:51,+001:48:29,  316
11036,EL VENDRELL                             ,ES,+41:12:56,+001:31:15,   59
11037,ESPOT                                   ,ES,+42:32:03,+001:03:16, 2519
11038,FALSET                                  ,ES,+41:09:12,+000:49:09,  359
11039,FONT-RUBI                               ,ES,+41:25:58,+001:37:26,  415
11040,GIRONA                                  ,ES,+41:58:55,+002:48:24,   72
11041,GUARDIOLA DE BERGUEDA                   ,ES,+42:14:03,+001:52:28,  788
11042,HORTA DE SANT JOAN                      ,ES,+40:57:05,+000:18:20,  515
11043,ILLA DE BUDA                            ,ES,+40:42:25,+000:50:03,    1
11044,LA BISBAL DEMPORDA                      ,ES,+41:58:39,+003:02:07,   28
11045,LAC REDON                               ,ES,+42:38:17,+000:46:44, 2247
11046,LA PANADELLA                            ,ES,+41:36:09,+001:24:02,  785
11047,LA POBLA DE SEGUR - BOMBERS             ,ES,+42:14:21,+000:57:51,  513
11048,LA QUAR                                 ,ES,+42:04:49,+001:57:45,  873
11049,LA SEU DURGELL                          ,ES,+42:22:14,+001:25:58,  849
11050,LESPLUGA DE FRANCOLI                    ,ES,+41:23:33,+001:05:56,  446
11051,MALGRAT DE MAR                          ,ES,+41:38:48,+002:45:24,    2
11052,MALNIU                                  ,ES,+42:27:57,+001:46:41, 2230
11053,MAS DE BARBERANS-ABOCADOR               ,ES,+40:43:05,+000:23:58,  240
11054,MOLLO-FABERT                            ,ES,+42:22:37,+002:24:51, 1405
11055,MONTSEC                                 ,ES,+42:03:05,+000:43:45, 1572
11056,MONTSERRAT-SANT DIMES                   ,ES,+41:35:43,+001:50:15,  916
11057,MUNTANYOLA                              ,ES,+41:52:41,+002:10:42,  816
11058,NURIA                                   ,ES,+42:22:54,+002:09:19, 1971
11059,ODENA                                   ,ES,+41:35:11,+001:39:11,  333
11060,OLOT - PLA DE BAIX                      ,ES,+42:11:29,+002:28:57,  421
11061,ORGANYA                                 ,ES,+42:12:57,+001:19:53,  565
11062,ORIS                                    ,ES,+42:04:26,+002:12:30,  626
11063,PARETS DEL VALLES                       ,ES,+41:34:01,+002:13:33,  123
11064,PN DELS PORTS                           ,ES,+40:47:48,+000:19:05, 1055
11065,PORTBOU                                 ,ES,+42:26:07,+003:09:57,  196
11066,PUIG SESOLLES                           ,ES,+41:46:24,+002:26:16, 1668
11067,RAIMAT                                  ,ES,+41:40:59,+000:26:54,  286
