EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 START  : Begin date YYYYMMDD
 98-105 STOP   : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   START,    STOP,PARID,PARNAME
   51,910731,RHEINSTETTEN                            ,DE,+48:58:00,+008:19:00, 118, FG5,20090609,20190430,    -,Synoptical message from GTS
   52,115786,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, FG7,19850101,20190430,   11,National Climate Data Center (DWD)                
   52,910865,MUENCHEN-STADT                          ,DE,+48:10:00,+011:33:00, 526, FG5,20040101,20190430,    -,Synoptical message from GTS
   53,126340,MUENSTER                                ,DE,+51:57:02,+007:35:29,  62, FG7,19650101,19911231,   11,National Climate Data Center (DWD)                
   54,115667,POTSDAM                                 ,DE,+52:23:00,+013:03:50,  81, FG7,19110101,20190430,   11,National Climate Data Center (DWD)                
   54,910379,POTSDAM                                 ,DE,+52:22:59,+013:04:00, 100, FG5,20040101,20190430,    -,Synoptical message from GTS
   58,115723,ZUGSPITZE                               ,DE,+47:25:19,+010:59:12,2964, FG7,19760101,20190430,   11,National Climate Data Center (DWD)                
   58,910961,ZUGSPITZE                               ,DE,+47:25:00,+010:58:59,2960, FG5,20040101,20190430,    -,Synoptical message from GTS
   65,175761,DALATANGI                               ,IS,+65:16:05,-013:34:32,   9,FG12,19490101,20161231,   14,Toranna Palsdottir                                
   65,904097,DALATANGI                               ,IS,+65:16:00,-013:34:59,  11, FG5,19800101,20190430,    -,Synoptical message from GTS
   66,175768,REYKJAVIK                               ,IS,+64:07:37,-021:54:09,  52,FG12,19490101,20161231,   14,Toranna Palsdottir                                
   67,175775,STYKKISHOLMUR                           ,IS,+65:04:26,-022:44:00,  13,FG12,19490101,20161231,   14,Toranna Palsdottir                                
   67,904013,STYKKISHOLMUR                           ,IS,+65:04:59,-022:43:59,   8, FG5,19800101,20190430,    -,Synoptical message from GTS
   68,175782,TEIGARHORN                              ,IS,+64:40:33,-014:20:38,  14,FG12,19500101,20090630,   14,Toranna Palsdottir                                
   68,175815,TEIGARHORN (AWS)                        ,IS,+64:40:32,-014:20:38,  21,FG12,20090701,20161231,   14,Toranna Palsdottir                                
  120,116233,BIRR                                    ,IE,+53:05:25,-007:52:35,  70, FG1,19541002,19621231,   17,Conor Daly                                        
  120,116241,GURTEEN                                 ,IE,+53:01:48,-008:00:36,  76, FG7,20080210,20190421,   17,Conor Daly                                        
  120,116260,BIRR                                    ,IE,+53:05:25,-007:52:35,  70, FG7,19660102,20090930,   17,Conor Daly                                        
  120,903965,BIRR                                    ,IE,+53:04:59,-007:52:59,  70, FG5,19800101,20091001,    -,Synoptical message from GTS
  120,903966,GURTEEN                                 ,IE,+53:01:00,-008:00:00,  76, FG5,20100419,20190430,    -,Synoptical message from GTS
  121,116234,DUBLIN AIRPORT                          ,IE,+53:25:41,-006:14:27,  71, FG1,19411102,19621231,   17,Conor Daly                                        
  121,116251,DUBLIN PHOENIX PARK                     ,IE,+53:21:50,-006:19:09,  49, FG7,20070821,20080519,   17,Conor Daly                                        
  121,116261,DUBLIN AIRPORT                          ,IE,+53:25:41,-006:14:27,  71, FG7,19630102,20190421,   17,Conor Daly                                        
  122,116235,MALIN HEAD                              ,IE,+55:22:18,-007:20:24,  21, FG1,19610102,19621231,   17,Conor Daly                                        
  122,116250,MALIN HEAD                              ,IE,+55:22:18,-007:20:24,  21, FG7,20090612,20190421,   17,Conor Daly                                        
  122,116262,MALIN HEAD                              ,IE,+55:22:18,-007:20:24,  21, FG7,19660102,20100531,   17,Conor Daly                                        
  122,903980,MALIN HEAD                              ,IE,+55:22:00,-007:19:59,  21, FG5,19800101,20190430,    -,Synoptical message from GTS
  123,116230,VALENTIA OBSERVATORY                    ,IE,+51:56:22,-010:13:19,   9, FG1,19391002,19621231,   17,Conor Daly                                        
  123,116255,VALENTIA OBSERVATORY                    ,IE,+51:56:22,-010:13:19,   9, FG7,19660102,20100601,   17,Conor Daly                                        
  123,903953,VALENTIA OBSERVATORY                    ,IE,+51:55:59,-010:15:00,  30, FG5,19800101,20190430,    -,Synoptical message from GTS
  160,113489,TEXELHORS_MM                            ,NL,+52:59:42,+004:43:12,   1, FG1,19710101,20190430,   19,Ge Verver                                         
  160,113571,DE KOOY                                 ,NL,+52:55:36,+004:46:51,   1, FG1,19060101,20190430,   19,Ge Verver                                         
  160,115803,DEN HELDER                              ,NL,+52:57:41,+004:44:49,   4, FG1,19060101,19720731,   19,Ge Verver                                         
